mutation,label,avg,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming
mutation_1,failing,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_2,passing,0.190393,0.364486,0.212963,0.231707,0.207317,0.151899,0.139785,0.172840,0.172840,0.193182,0.198347,0.212389,0.184874,0.171429,0.171429,0.171429,0.165138,0.165138,0.165138,0.165138
mutation_3,failing,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_4,passing,0.191771,0.364486,0.203704,0.231707,0.207317,0.151899,0.150538,0.185185,0.185185,0.193182,0.198347,0.212389,0.184874,0.171429,0.171429,0.171429,0.165138,0.165138,0.165138,0.165138
mutation_5,passing,0.945219,0.869159,0.861111,0.928571,0.892857,0.886076,0.946237,0.950617,0.950617,0.954545,0.966942,0.973451,0.974790,0.971429,0.971429,0.971429,0.972477,0.972477,0.972477,0.972477
mutation_7,passing,0.801455,0.971963,0.972222,0.963415,0.853659,0.835443,0.816327,0.716049,0.716049,0.640449,0.737705,0.798319,0.750000,0.794872,0.794872,0.762295,0.776000,0.776000,0.776000,0.776000
mutation_9,passing,0.706541,0.953271,0.953704,0.939024,0.831325,0.797468,0.793814,0.580247,0.580247,0.556818,0.586777,0.619469,0.647059,0.647619,0.647619,0.647619,0.660550,0.660550,0.660550,0.660550
mutation_11,passing,0.996230,1.000000,0.990741,0.987805,0.987805,0.962025,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_12,passing,0.734495,0.962617,0.962963,0.951220,0.903614,0.898734,0.892473,0.604938,0.604938,0.602273,0.619835,0.646018,0.655462,0.657143,0.657143,0.657143,0.669725,0.669725,0.669725,0.669725
mutation_14,passing,0.972120,0.981481,0.981651,0.975904,0.975904,0.975000,0.978723,0.975610,0.975610,0.912088,0.935484,0.965217,0.966942,0.981132,0.981132,0.981132,0.981818,0.981818,0.981818,0.981818
mutation_16,passing,0.991704,0.981308,0.972222,0.963415,0.963415,0.962025,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_17,passing,0.976101,0.981481,0.972477,0.963855,0.963855,0.936709,0.978723,0.975610,0.975610,0.977528,0.983607,0.982456,0.983333,0.981132,0.981132,0.981132,0.981818,0.981818,0.981818,0.981818
mutation_18,passing,0.254240,0.345794,0.277778,0.353659,0.341463,0.341772,0.290323,0.283951,0.283951,0.284091,0.272727,0.221239,0.210084,0.190476,0.190476,0.190476,0.192661,0.192661,0.183486,0.183486
mutation_21,passing,0.953355,0.887850,0.888889,0.963855,0.927711,0.924051,0.946237,0.950617,0.950617,0.954545,0.966942,0.973451,0.974790,0.971429,0.971429,0.971429,0.972477,0.972477,0.972477,0.972477
mutation_23,failing,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_24,failing,0.979867,0.981481,0.981651,0.975904,0.975904,0.975000,0.978723,0.975610,0.975610,0.977528,0.983607,0.982456,0.983333,0.981132,0.981132,0.981132,0.981818,0.981818,0.981818,0.981818
mutation_26,passing,0.996230,1.000000,0.990741,0.987805,0.987805,0.962025,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_27,passing,0.943543,0.850467,0.851852,0.926829,0.878049,0.898734,0.946237,0.950617,0.950617,0.954545,0.966942,0.973451,0.974790,0.971429,0.971429,0.971429,0.972477,0.972477,0.972477,0.972477
mutation_28,failing,0.979867,0.981481,0.981651,0.975904,0.975904,0.975000,0.978723,0.975610,0.975610,0.977528,0.983607,0.982456,0.983333,0.981132,0.981132,0.981132,0.981818,0.981818,0.981818,0.981818
